player_name,player_steamid,event_name,tick,round
Erick,76561198000238678,player_jump,15951,0
rodrigaoobrabo,76561198421514418,player_jump,16033,0
Luiz,76561198100001022,player_jump,16061,0
Luiz,76561198100001022,player_jump,16099,0
Erick,76561198000238678,player_jump,16781,0
AVARA KÉRABA,76561198397576589,player_jump,16787,0
AVARA KÉRABA,76561198397576589,player_jump,16921,0
Erick,76561198000238678,player_jump,16971,0
Erick,76561198000238678,player_jump,16999,0
Siraissi,76561198178993731,player_jump,17109,0
Erick,76561198000238678,player_jump,17131,0
Cujura,76561198051880621,player_jump,17169,0
Siraissi,76561198178993731,player_jump,17199,0
Luiz,76561198100001022,player_jump,17621,0
Cujura,76561198051880621,player_jump,18025,0
MonsTro,76561198340888446,player_jump,18097,0
MonsTro,76561198340888446,player_jump,18131,0
MonsTro,76561198340888446,player_jump,18169,0
AVARA KÉRABA,76561198397576589,player_jump,18285,0
MonsTro,76561198340888446,player_jump,18561,0
AVARA KÉRABA,76561198397576589,player_jump,18739,0
MonsTro,76561198340888446,player_jump,18777,0
MonsTro,76561198340888446,player_jump,18951,0
Erick,76561198000238678,player_jump,19295,0
AVARA KÉRABA,76561198397576589,player_jump,19349,0
MonsTro,76561198340888446,player_jump,19633,0
【﻿ＰＫ】,76561197996437459,player_jump,19701,0
MonsTro,76561198340888446,player_jump,19713,0
MonsTro,76561198340888446,player_jump,19765,0
AVARA KÉRABA,76561198397576589,player_jump,20181,0
【﻿ＰＫ】,76561197996437459,player_jump,20345,0
【﻿ＰＫ】,76561197996437459,player_jump,20385,0
Connan,76561198026214582,player_jump,20521,0
Connan,76561198026214582,player_jump,20697,0
Connan,76561198026214582,player_jump,20773,0
Connan,76561198026214582,player_jump,21321,0
MonsTro,76561198340888446,player_jump,21443,0
Connan,76561198026214582,player_jump,21547,0
MonsTro,76561198340888446,player_jump,21695,0
Connan,76561198026214582,player_jump,21869,0
Luiz,76561198100001022,player_jump,21995,0
Luiz,76561198100001022,player_jump,22293,0
AVARA KÉRABA,76561198397576589,player_jump,22601,0
Connan,76561198026214582,player_jump,24290,0
Talevor,76561198124241179,player_jump,24336,0
【﻿ＰＫ】,76561197996437459,player_jump,24358,0
Siraissi,76561198178993731,player_jump,24372,0
MonsTro,76561198340888446,player_jump,24448,0
Cujura,76561198051880621,player_jump,24466,0
Connan,76561198026214582,player_jump,24562,0
Cujura,76561198051880621,player_jump,24610,0
Luiz,76561198100001022,player_jump,24650,0
Luiz,76561198100001022,player_jump,24688,0
MonsTro,76561198340888446,player_jump,24704,0
Connan,76561198026214582,player_jump,25088,0
Connan,76561198026214582,player_jump,25308,0
rodrigaoobrabo,76561198421514418,player_jump,25562,0
Cujura,76561198051880621,player_jump,25676,0
AVARA KÉRABA,76561198397576589,player_jump,25820,0
Luiz,76561198100001022,player_jump,26024,0
AVARA KÉRABA,76561198397576589,player_jump,26042,0
【﻿ＰＫ】,76561197996437459,player_jump,26308,0
AVARA KÉRABA,76561198397576589,player_jump,27078,0
AVARA KÉRABA,76561198397576589,player_jump,27244,0
Siraissi,76561198178993731,player_jump,27806,0
Connan,76561198026214582,player_jump,29937,0
Connan,76561198026214582,player_jump,29989,0
MonsTro,76561198340888446,player_jump,30005,0
Cujura,76561198051880621,player_jump,30025,0
Connan,76561198026214582,player_jump,30087,0
Talevor,76561198124241179,player_jump,30105,0
rodrigaoobrabo,76561198421514418,player_jump,30139,0
Luiz,76561198100001022,player_jump,30175,0
rodrigaoobrabo,76561198421514418,player_jump,30177,0
Luiz,76561198100001022,player_jump,30221,0
AVARA KÉRABA,76561198397576589,player_jump,30265,0
Connan,76561198026214582,player_jump,30293,0
AVARA KÉRABA,76561198397576589,player_jump,30401,0
rodrigaoobrabo,76561198421514418,player_jump,30491,0
Luiz,76561198100001022,player_jump,30583,0
Erick,76561198000238678,player_jump,30707,0
AVARA KÉRABA,76561198397576589,player_jump,30871,0
rodrigaoobrabo,76561198421514418,player_jump,30907,0
Luiz,76561198100001022,player_jump,31143,0
Luiz,76561198100001022,player_jump,31227,0
rodrigaoobrabo,76561198421514418,player_jump,31267,0
AVARA KÉRABA,76561198397576589,player_jump,31285,0
Erick,76561198000238678,player_jump,31297,0
Luiz,76561198100001022,player_jump,31311,0
Erick,76561198000238678,player_jump,31333,0
Luiz,76561198100001022,player_jump,31375,0
Luiz,76561198100001022,player_jump,31447,0
Luiz,76561198100001022,player_jump,31511,0
Luiz,76561198100001022,player_jump,31577,0
Erick,76561198000238678,player_jump,31635,0
Luiz,76561198100001022,player_jump,31637,0
Luiz,76561198100001022,player_jump,31699,0
Luiz,76561198100001022,player_jump,31767,0
Luiz,76561198100001022,player_jump,31829,0
Luiz,76561198100001022,player_jump,31891,0
AVARA KÉRABA,76561198397576589,player_jump,31941,0
Luiz,76561198100001022,player_jump,31957,0
Luiz,76561198100001022,player_jump,32013,0
Luiz,76561198100001022,player_jump,32077,0
Erick,76561198000238678,player_jump,32155,0
MonsTro,76561198340888446,player_jump,32227,0
AVARA KÉRABA,76561198397576589,player_jump,32549,0
Siraissi,76561198178993731,player_jump,32603,0
Erick,76561198000238678,player_jump,32657,0
Erick,76561198000238678,player_jump,32691,0
Siraissi,76561198178993731,player_jump,32767,0
AVARA KÉRABA,76561198397576589,player_jump,32849,0
Erick,76561198000238678,player_jump,32871,0
Talevor,76561198124241179,player_jump,33097,0
AVARA KÉRABA,76561198397576589,player_jump,33265,0
Connan,76561198026214582,player_jump,34133,0
【﻿ＰＫ】,76561197996437459,player_jump,34855,0
Connan,76561198026214582,player_jump,35121,0
【﻿ＰＫ】,76561197996437459,player_jump,35629,0
Siraissi,76561198178993731,player_jump,35909,0
Siraissi,76561198178993731,player_jump,36025,0
Siraissi,76561198178993731,player_jump,36063,0
Connan,76561198026214582,player_jump,37496,0
Connan,76561198026214582,player_jump,37626,0
Connan,76561198026214582,player_jump,37686,0
Connan,76561198026214582,player_jump,37834,0
Connan,76561198026214582,player_jump,37894,0
MonsTro,76561198340888446,player_jump,37964,0
Luiz,76561198100001022,player_jump,37974,0
Luiz,76561198100001022,player_jump,38016,0
